City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,5.55,78,100,1.79,CL,1722292627
1,bilibino,68.0546,166.4372,10.52,53,76,3.66,RU,1722292629
2,rio grande,-32.035,-52.0986,9.06,68,2,4.79,BR,1722292630
3,konigsee,50.6667,11.1,16.51,88,4,1.18,DE,1722292631
4,grand falls-windsor,48.9332,-55.6649,23.33,49,30,6.59,CA,1722292632
5,adamstown,-25.066,-130.1015,21.66,84,16,7.37,PN,1722292634
6,lebu,-37.6167,-73.65,7.74,73,100,3.62,CL,1722292635
7,waitangi,-43.9535,-176.5597,12.68,96,100,3.13,NZ,1722292636
8,viedma,-40.8135,-62.9967,5.21,29,44,5.11,AR,1722292461
9,ad darb,17.7229,42.2526,32.27,55,76,1.97,SA,1722292638
10,dwarka,22.2394,68.9678,27.9,86,100,4.11,IN,1722292639
11,margaret river,-33.95,115.0667,13.5,76,0,3.29,AU,1722292641
12,ushuaia,-54.8,-68.3,1.81,87,100,9.26,AR,1722292490
13,san luis de la loma,17.2706,-100.8939,29.74,72,97,1.3,MX,1722292643
14,abu road,24.4833,72.7833,26.9,94,99,2.75,IN,1722292644
15,port-aux-francais,-49.35,70.2167,0.57,59,97,7.23,TF,1722292645
16,ta`u,-14.2336,-169.5144,25.0,60,24,11.33,AS,1722292646
17,amahai,-3.3333,128.9167,24.89,88,59,0.85,ID,1722292647
18,saipan,15.1355,145.701,30.39,70,20,3.6,MP,1722292649
19,praia da vitoria,38.7333,-27.0667,24.86,94,20,1.25,PT,1722292650
20,iqaluit,63.7506,-68.5145,11.85,50,40,10.29,CA,1722292651
21,invercargill,-46.4,168.35,5.01,87,100,1.79,NZ,1722292652
22,bethel,41.3712,-73.414,25.93,79,40,4.63,US,1722292397
23,yellowknife,62.456,-114.3525,18.56,66,100,2.57,CA,1722292654
24,ciudad gustavo diaz ordaz,26.2333,-98.5833,35.57,59,1,1.79,MX,1722292655
25,blackmans bay,-43.0167,147.3167,4.29,90,98,0.45,AU,1722292657
26,fort bragg,35.139,-79.006,25.08,85,75,4.63,US,1722292658
27,alupka,44.4167,34.05,24.14,63,0,5.02,UA,1722292659
28,northam,51.0333,-4.2167,17.44,89,45,2.95,GB,1722292660
29,haiku-pauwela,20.9219,-156.3051,29.01,68,20,10.8,US,1722292661
30,bredasdorp,-34.5322,20.0403,9.64,86,100,2.39,ZA,1722292662
31,wailua homesteads,22.0669,-159.378,27.44,71,0,5.66,US,1722292664
32,albertina,-22.2008,-46.6158,20.62,37,24,2.3,BR,1722292665
33,qaqortoq,60.7167,-46.0333,7.24,80,100,3.17,GL,1722292666
34,lompoc,34.6391,-120.4579,23.66,72,0,6.17,US,1722292667
35,olonkinbyen,70.9221,-8.7187,4.93,99,100,8.53,SJ,1722292668
